Transaction ID,Items
Trans1,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans2,"Running Shoe, Socks, Sweatshirts"
Trans3,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans4,"Running Shoe, Sweatshirts, Modern Pants"
Trans5,"Running Shoe, Socks, Sweatshirts, Modern Pants, Soccer Shoe"
Trans6,"Swimming Shirt, Rash Guard, Soccer Shoe, Sweatshirts"
Trans7,"Socks, Modern Pants, Sweatshirts"
Trans8,"Dry Fit V-Nick, Rash Guard, Socks, Sweatshirts, Hoodies"
Trans9,"Rash Guard, Sweatshirts, Tech Pants, Running Shoe, Socks"
Trans10,"Rash Guard, Running Shoe, Swimming Shirt, Sweatshirts, Hoodies"
Trans11,"Tech Pants, Running Shoe"
Trans12,"Modern Pants, Tech Pants, Soccer Shoe, Running Shoe"
Trans13,"Sweatshirts, Tech Pants, Swimming Shirt, Modern Pants, Running Shoe"
Trans14,"Dry Fit V-Nick, Sweatshirts, Rash Guard, Modern Pants"
Trans15,"Sweatshirts, Tech Pants, Dry Fit V-Nick"
Trans16,"Sweatshirts, Socks, Hoodies, Rash Guard"
Trans17,"Swimming Shirt, Soccer Shoe, Modern Pants"
Trans18,"Swimming Shirt, Modern Pants, Running Shoe, Soccer Shoe, Sweatshirts"
Trans19,"Swimming Shirt, Hoodies, Running Shoe, Socks, Soccer Shoe"
Trans20,"Dry Fit V-Nick, Hoodies, Rash Guard, Sweatshirts, Modern Pants"
